"Department name","Course number","Section","Course","Professor","Status","Created On","Updated On","Ean","Author","Title","Edition","Edition flag","New copy required","Publisher","Copyright year","Binding","Required","Bookstore staff notes","Student notes","Confirmed","Shelf limit","Max Enrollment","Current Enrollment",
"ACG","2021","80666","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:04","2018-04-12 10:38:04","9781259307959","SPICELAND","FINANCIAL ACCT.","4TH 16","NE","","MCG","2016","","component of package","","k","No","0","40","0",
"ACG","2021","80666","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:04","2018-04-12 10:38:04","9781308802978","CONRECODE","FINANCIAL ACCOUNTING(w/Connect)(FGCU CUSTOM PACKAGE)","4","","","MCG CREATE","0","","required","","k","No","3","40","0",
"ACG","2021","80666","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:04","2018-04-12 10:38:04","9781259730924","CONRECODE","FIN ACCOUNTING ACCESS CODE","1","","","MCG CREATE","0","","component of package","","k","No","0","40","0",
"ACG","2021","80669","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:07","2018-04-12 10:38:07","9781259307959","SPICELAND","FINANCIAL ACCT.","4TH 16","NE","","MCG","2016","","component of package","","","No","0","40","0",
"ACG","2021","80669","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:07","2018-04-12 10:38:07","9781308802978","CONRECODE","FINANCIAL ACCOUNTING(w/Connect)(FGCU CUSTOM PACKAGE)","4","","","MCG CREATE","0","","required","","","No","3","40","0",
"ACG","2021","80669","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:07","2018-04-12 10:38:07","9781259730924","CONRECODE","FIN ACCOUNTING ACCESS CODE","1","","","MCG CREATE","0","","component of package","","","No","0","40","0",
"ACG","2021","80670","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:08","2018-04-12 10:38:08","9781259307959","SPICELAND","FINANCIAL ACCT.","4TH 16","NE","","MCG","2016","","component of package","","","No","0","40","0",
"ACG","2021","80670","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:08","2018-04-12 10:38:08","9781308802978","CONRECODE","FINANCIAL ACCOUNTING(w/Connect)(FGCU CUSTOM PACKAGE)","4","","","MCG CREATE","0","","required","","","No","3","40","0",
"ACG","2021","80670","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:08","2018-04-12 10:38:08","9781259730924","CONRECODE","FIN ACCOUNTING ACCESS CODE","1","","","MCG CREATE","0","","component of package","","","No","0","40","0",
"ACG","2021","80671","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:09","2018-04-12 10:38:09","9781259307959","SPICELAND","FINANCIAL ACCT.","4TH 16","NE","","MCG","2016","","component of package","","","No","0","40","0",
"ACG","2021","80671","INTRO TO FINANCIAL ACCT","STAFF","OK","2018-04-12 10:38:09","2018-04-12 10:38:09","9781308802978","CONRECODE","FINANCIAL ACCOUNTING(w/Connect)(FGCU CUSTOM PACKAGE)","4","","","MCG CREATE","0","","required","","","No","3","40","0",
